timestamp,cpu_usage_percent,gpu_usage_percent,memory_percent,disk_read,disk_write,past_cpu,past_gpu,past_memory,future_cpu,future_gpu,future_memory
1763425170.372883,5.2,1,74.1,13661981,1652453,5.6,2.0,74.4,4.1,0,74.1
1763425175.4149723,4.1,0,74.1,13661981,1652485,5.2,1.0,74.1,4.6,0,74.1
1763425180.4675663,4.6,0,74.1,13661984,1652541,4.1,0.0,74.1,4.8,5,74.1
1763425185.508654,4.8,5,74.1,13661984,1652597,4.6,0.0,74.1,9.0,1,74.0
1763425190.560247,9.0,1,74.0,13662005,1652653,4.8,5.0,74.1,8.2,1,74.1
1763425195.6033363,8.2,1,74.1,13662014,1652770,9.0,1.0,74.0,10.6,1,74.1
1763425200.6459212,10.6,1,74.1,13662014,1652817,8.2,1.0,74.1,11.7,3,74.4
1763425205.69802,11.7,3,74.4,13662014,1652975,10.6,1.0,74.1,5.8,1,74.6
1763425210.7536175,5.8,1,74.6,13662015,1653037,11.7,3.0,74.4,9.1,2,74.1
1763425215.8187263,9.1,2,74.1,13662015,1653114,5.8,1.0,74.6,4.5,1,74.0
1763425220.8593097,4.5,1,74.0,13662015,1653180,9.1,2.0,74.1,4.2,0,74.0
1763425225.9104066,4.2,0,74.0,13662036,1653262,4.5,1.0,74.0,2.6,1,74.0
1763425230.9549935,2.6,1,74.0,13662036,1653335,4.2,0.0,74.0,2.9,0,74.1
1763425236.003087,2.9,0,74.1,13662036,1653434,2.6,1.0,74.0,4.0,0,74.0
1763425241.0546799,4.0,0,74.0,13662038,1653489,2.9,0.0,74.1,6.0,4,74.0
1763425246.0967698,6.0,4,74.0,13662038,1653508,4.0,0.0,74.0,5.1,1,74.0
1763425251.1493645,5.1,1,74.0,13662038,1653559,6.0,4.0,74.0,10.4,0,74.5
1763425256.196457,10.4,0,74.5,13662125,1653772,5.1,1.0,74.0,3.4,1,74.5
1763425261.2520542,3.4,1,74.5,13662125,1653854,10.4,0.0,74.5,5.3,1,74.4
1763425266.3046482,5.3,1,74.4,13662125,1653931,3.4,1.0,74.5,5.5,1,74.7
1763425271.3477364,5.5,1,74.7,13662125,1654072,5.3,1.0,74.4,5.7,0,75.1
1763425276.4013314,5.7,0,75.1,13662590,1654685,5.5,1.0,74.7,5.2,1,75.8
1763425281.4514284,5.2,1,75.8,13662591,1654797,5.7,0.0,75.1,13.8,2,76.9
1763425286.4990184,13.8,2,76.9,13666457,1656309,5.2,1.0,75.8,24.3,1,77.6
1763425291.5521176,24.3,1,77.6,13667583,1657640,13.8,2.0,76.9,22.7,0,78.6
1763425296.6007082,22.7,0,78.6,13670679,1660371,24.3,1.0,77.6,28.3,5,78.8
1763425301.6688216,28.3,5,78.8,13672623,1675671,22.7,0.0,78.6,26.6,1,77.8
1763425306.7154105,26.6,1,77.8,13673104,1676504,28.3,5.0,78.8,10.1,0,77.3
1763425311.7705112,10.1,0,77.3,13673341,1677182,26.6,1.0,77.8,5.8,0,77.0
1763425316.8211036,5.8,0,77.0,13673345,1677907,10.1,0.0,77.3,13.5,1,78.2
1763425321.870198,13.5,1,78.2,13673441,1680290,5.8,0.0,77.0,13.3,2,79.1
1763425326.9297981,13.3,2,79.1,13674021,1681587,13.5,1.0,78.2,5.9,0,78.6
1763425331.9818966,5.9,0,78.6,13674022,1681995,13.3,2.0,79.1,1.8,0,77.5
1763425337.0364926,1.8,0,77.5,13674023,1682013,5.9,0.0,78.6,2.2,0,77.6
1763425342.082585,2.2,0,77.6,13674029,1682216,1.8,0.0,77.5,7.0,1,78.4
1763425347.1251702,7.0,1,78.4,13674104,1682351,2.2,0.0,77.6,8.3,2,78.9
1763425352.1782696,8.3,2,78.9,13674244,1682705,7.0,1.0,78.4,2.9,1,78.8
1763425357.2278605,2.9,1,78.8,13674247,1682911,8.3,2.0,78.9,3.5,2,78.7
1763425362.2779582,3.5,2,78.7,13674258,1682963,2.9,1.0,78.8,9.7,4,79.0
1763425367.3335547,9.7,4,79.0,13674281,1683211,3.5,2.0,78.7,14.4,6,79.1
1763425372.3816495,14.4,6,79.1,13674908,1684012,9.7,4.0,79.0,8.9,1,79.4
1763425377.4212322,8.9,1,79.4,13674928,1684479,14.4,6.0,79.1,7.6,0,79.6
1763425382.4723291,7.6,0,79.6,13675147,1684894,8.9,1.0,79.4,4.1,0,78.6
1763425387.5179174,4.1,0,78.6,13675147,1685169,7.6,0.0,79.6,6.7,2,79.1
1763425392.5680134,6.7,2,79.1,13675148,1685504,4.1,0.0,78.6,7.9,2,79.1
1763425397.6136012,7.9,2,79.1,13675151,1685786,6.7,2.0,79.1,6.9,0,78.9
1763425402.6586928,6.9,0,78.9,13675151,1685972,7.9,2.0,79.1,6.9,1,78.6
1763425407.7092845,6.9,1,78.6,13675151,1686033,6.9,0.0,78.9,5.9,1,78.8
